"요구사항ID","재난분야","요구사항영역","세부기능","요구사항설명","주요입력데이터","처리·판단규칙","출력·사용자기능","연계대상","성능·품질기준","검증방법","개발단계·우선순위","현재구현상태","현재구현근거","추가개발사항","근거문서","근거구분","근거위치","원문요구번호","근거강도","통합시스템포함사유","개발범위구분","구현산출물","범위제외경계"
"INT-COM-011","공통","경보관리","위험·장애 경보 생명주기","화선 접근·고립·통신저하·2차 붕괴·조난신호·장비이상 경보를 생성하고 발령·수신확인·해제한다.","위치; 위험구역; 예측결과; 망상태; 센서값","유형별 임계치·심각도·대상자를 산정하고 중복 경보를 억제한다.","경보목록; 지도강조; 발령; 확인; 해제; 이력","AI 분석; 통신관제; 현장단말","긴급경보 우선 전송과 추적 가능한 상태전이","조건 재현 후 경보 정확성·전달시간·확인율 측정","핵심/P0","부분구현","경보 저장·조회·발령·확인 API 및 화선·조난·붕괴 모사 이벤트 존재","경보 규칙엔진·해제·대상자별 전달상태·프론트 처리 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","위험지역 근접·적시경보·2차 피해 방지 요구","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-012","공통","데이터플랫폼","통합 데이터베이스와 메타데이터","지형·지반·기상·통신·자원·재난·안정성 데이터를 표준 구조와 메타데이터로 관리한다.","공간데이터; 센서데이터; 장비정보; 분석결과; 출처; 품질등급","공통 식별자·단위·좌표계·시간표준·데이터 출처를 적용하고 원천과 가공본을 구분한다.","검색; 조건조회; 공간조회; 데이터 이력","산림청; 지자체; 재난안전기관; 연구기관","상호운용성·확장성·추적성·데이터 품질","스키마 검증·필수값·참조무결성·좌표/단위 일관성 시험","기반기능/P0","부분구현","Supabase의 core·wildfire·landslide 구조와 API 자원 매핑 구현","메타데이터 카탈로그·품질등급·원천계보·표준코드 관리 필요","산사태 연구개발계획서; 산사태 2025 연차보고서; 산불 연구개발계획서","명시","산사태 통합 DB 구조·메타데이터 스키마; 산불 데이터 표준화","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-COM-013","공통","외부연계","표준 API 기반 기관 연계","국가 산불관제통합시스템·재난안전통신망·공공 재난포털·지자체 GIS와 표준 API로 정보를 교환한다.","기관코드; 외부ID; 기준정보; 사건·자원·경보 데이터","내부ID와 외부ID를 매핑하고 중복수신 방지·버전·오류재처리를 관리한다.","연계현황; 마지막 성공시각; 오류·재처리","산불관제통합시스템; 재난안전통신망; 공공포털; 지자체 GIS","데이터 표준화; 상호운용성; 전국 확장성","기관별 계약 테스트와 송수신 대사·장애복구 시험","연계기능/P1","골격구현","외부 기준정보 및 업로드 요청 API 골격 존재","실제 기관 API 계약·인증·필드매핑·대사·재처리 구현 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산불관제통합시스템 완전 연동; 공공안전망·재난포털·지자체 GIS 연계","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-COM-014","공통","현장미디어","영상·사진·상황보고 통합","드론·현장단말의 영상과 사진 및 구조화된 상황보고를 사건과 위치·시각 기준으로 저장·조회한다.","영상; 사진; 촬영좌표; 촬영시각; 보고내용; 작성자","대용량 파일과 메타데이터를 분리하고 사건·자산·분석결과에 연결한다.","지도 기반 미디어 조회; 상황보고 목록; 최신영상","드론 GCS; 현장단말; 객체스토리지","현장 영상 실시간 전송과 장기 이력 보존","업로드·재생·메타데이터 연결·통신저하 시 재개 시험","핵심/P1","골격구현","상황보고 조회 API와 Storage 업로드 요청 API 존재","실제 업로드·스트리밍·썸네일·지도연결·프론트 UI 필요","산사태 연구개발계획서; 산사태 2025 연차보고서; 산불 연구개발계획서","명시","드론 현장 영상 실시간 전송/분석; 지도+영상+상황 정보 공유","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-015","공통","의사결정지원","역할·위치 기반 맞춤 정보","지휘관과 현장대원에게 역할·현재위치·주변위험·임무에 따라 필요한 정보와 권고를 다르게 제공한다.","사용자역할; 위치; 임무; 위험도; 주변자원; 예측결과","사용자 맥락과 심각도를 기준으로 정보 우선순위와 노출범위를 결정한다.","지휘관 통합정보; 대원 안전정보; 행동권고","사용자·조직·임무관리","과도한 정보표시 방지; 긴급정보 우선성","역할별 동일 사건 화면·경보 차등노출 시험","고도화/P1","미구현","현재 단일 공통 대시보드 제공","사용자·역할·임무 모델과 개인화 규칙 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","최일선 대원 맞춤정보 및 지휘관 의사결정 지원","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-COM-016","공통","보안·감사","접근통제와 감사이력","시스템·API·데이터에 역할별 권한을 적용하고 명령·경보·데이터 변경 및 사용자 행위를 감사 가능하게 기록한다.","사용자ID; 역할; JWT; 요청; 변경 전후값","최소권한·서버전용 비밀키·민감정보 비노출 원칙을 적용한다.","권한 오류; 감사조회; 보안이벤트","기관 인증체계; 로그/SIEM","서비스 관리와 보안; 행위 추적성","권한별 API 접근·위변조·비밀키 노출·감사로그 완전성 시험","운영필수/P0","부분구현","JWT scope 미들웨어와 서버전용 Supabase 접근 구조 존재","운영 AUTH 강제·사용자관리·감사로그 저장·키회전 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시+도출","연차보고서 서비스 관리 및 보안; 기관 연계·표준화 요구에서 상세 통제 도출","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-017","공통","운영관리","장애·복구·관측성","API·DB·외부연계·통신망의 가용상태와 오류를 감시하고 장애 발생 시 재시도·복구·운영자 통보를 수행한다.","헬스상태; 오류로그; 처리량; 지연; 실패건; 마지막 성공시각","구성요소별 장애를 분리하고 재시도 한도·백오프·중복방지 규칙을 적용한다.","운영로그; 장애알림; 연계상태; 성능지표","API 서버; Supabase; 외부기관; NMS","현장 서비스 연속성·가용성·복구 가능성","구성요소 중단·재기동·네트워크 단절 후 데이터 정합성 시험","운영필수/P0","부분구현","health·health/db와 origin 구분 서버로그 구현","메트릭·분산추적·재처리 큐·운영 대시보드·RTO 기준 필요","산불 연구개발계획서; 산사태 연구개발계획서; 산사태 2025 연차보고서","도출","끊김 없는 통신·클라우드 안정성·운영유지관리 요구에서 도출","","문서기반도출","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-018","공통","시험검증","통합 시나리오 기반 성능검증","실제 산악환경과 가상 재난 시나리오에서 통신망 형성→데이터수집→영상/분석→경보→구조 또는 진화 대응 전 과정을 검증한다.","시험시나리오; 기준시각; 생성·수신건수; 지연; 정확도; 장애조건","요구사항별 합격기준과 증적 로그를 사전에 정의하고 반복시험 결과를 비교한다.","시험결과; KPI; 실패원인; 재현로그","테스트베드; 현장장비; 통합플랫폼","객관적 성능지표·현장 적용성·재현성","산악 테스트베드 통합시연 및 성능검증 보고서","1단계 완료필수/P0","부분구현","산불·산사태 재현 시나리오와 실행 제어 API·로그 존재","자동 KPI 계산·합격판정·시험결과 CSV/보고서 생성 필요","산불 연구개발계획서; 산불 2025 연차보고서; 산사태 2025 연차보고서","명시","실효성 검증 및 1단계 통합 필드테스트","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-019","공통","시스템아키텍처","확장 가능한 모듈형 통합 아키텍처","AI 통신망·GIS·실시간 정보공유·영상분석·조난자탐지 등 독립 모듈의 데이터 흐름·인터페이스·프로토콜을 정의하고 신규 기술·장비를 추가할 수 있게 구성한다.","모듈목록; 데이터계약; 이벤트; API; 장비프로토콜","공통 사건·자산·시간·공간 식별자를 기준으로 느슨하게 결합하고 모듈별 장애를 격리한다.","서비스 상태; 인터페이스 목록; 버전·호환성","AI모듈; GIS; 통신망; 장비; 외부기관","확장성·안정성·모듈 교체 가능성","모듈 추가·교체·장애 시 계약 및 회귀시험","설계필수/P0","부분구현","Hono 라우트·서비스·프론트 HTTP API가 분리됨","명시적 API 버전정책·이벤트계약·모듈 장애격리·서비스 관측성 보강","산불 연구개발계획서; 산불 2025 연차보고서","명시","산불 연구계획서 PDF p.10; 산불 연차보고서 PDF p.8","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-020","공통","다중화면","PC 관제와 현장 모바일 경량화","상황실 PC에는 전체 상황·분석·자원통제를 제공하고 현장 모바일에는 위치·임무·주변위험·경보 중심의 경량 화면을 제공한다.","사용자역할; 단말유형; 위치; 네트워크품질","단말 화면크기와 가용 대역폭에 따라 레이어·미디어·갱신량을 조절한다.","PC 통합상황판; 모바일 현장화면; 오프라인/저대역 표시","웹 관제; 현장단말","저대역폭에서도 핵심 위치·경보 유지; 모바일 가독성","PC·모바일·저속망에서 기능·응답시간·레이아웃 시험","현장운용/P1","부분구현","반응형 웹 대시보드 기반 존재","현장 역할별 모바일 화면·저대역 모드·오프라인 캐시 필요","산불 연구개발계획서; 산불 2025 연차보고서","명시","산불 연구계획서 PDF p.10; 산불 연차보고서 PDF p.8","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-021","공통","데이터융합","다중소스 시공간 정합","드론/위성 영상·GIS·기상·인력위치·통신품질·센서 데이터를 실시간 융합 가능한 표준 포맷으로 변환한다.","영상; 좌표; 기상; 장비시각; 센서값; 품질정보","좌표계·단위·타임스탬프를 정규화하고 관측시각·수집시각·처리시각을 구분한다.","융합 데이터셋; 데이터 최신성·품질·출처","드론; 위성; 기상; GIS; 현장장비","시공간 정합성·출처 추적·지연 가시성","동일 지점·시각의 원천별 좌표·시각 오차와 누락률 검증","데이터기반/P0","부분구현","사건·위치·상태 데이터의 ISO 시각과 공간값 저장","영상·기상·GIS 수집 ETL 및 데이터 품질·계보 관리 필요","산불 연구개발계획서; 산불 2025 연차보고서; 산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산불 연차보고서 PDF p.8; 산사태 연구계획서 PDF p.8","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-COM-023","공통","운영가이드","현장 운영·배치·복구 가이드라인","개발 장비와 플랫폼의 설치·운영·점검·장애대응·철수·데이터관리 절차를 문서화한다.","장비제원; 설치조건; 장애사례; 역할·연락체계","정상·저하·두절·재난확대 단계별 표준운영절차와 책임주체를 정의한다.","운영매뉴얼; 점검표; 배치도; 장애대응절차; 교육자료","현장운영기관; 유지보수조직","현장 재현성·교육 가능성·책임 명확성","제3자 매뉴얼 수행시험과 훈련 평가","2단계 산출물/P1","미구현","README 수준 실행안내만 존재","기관용 SOP·장비별 점검표·장애복구·교육훈련 자료 필요","산사태 연구개발계획서; 산사태 2025 연차보고서; 산불 2025 연차보고서","명시","산사태 연구계획서 PDF p.8; 산사태 연차보고서 PDF p.42","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-COM-024","공통","3D지형입력","XYZ 지형데이터 입력·검증","CSV X,Y,Z 좌표와 면적·간격 파라미터를 입력받고 좌표계·헤더·자료형·결측·범위를 변환 전에 검증하여 오류 위치와 원인을 표시해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","협의 좌표계 준수; 입력 오류 사전 차단","정상·결측·잘못된 좌표계·대용량 CSV 입력시험","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","파일 업로드·스키마/좌표 검증·오류리포트 필요","용역 과업지시서(SW개발)","원문직접","PDF p.7, p.9","SFR-001; DAR-001","RFP/계약요구 직접명시","통합 GIS의 공식 지형데이터 입력계약","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-COM-025","공통","3D지형연계","DXF R2018·CAD 연동","검증된 지형을 3D Polyface Mesh 기반 DXF ASCII R2018로 변환하고 CAD에서 보기 기능으로 구글 스케치업을 호출하며 설치·경로 오류를 안내해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","지정 CAD에서 형상·축척·좌표가 원본과 일치","DXF 호환성 및 원본-결과 좌표·축척 비교","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","3D 메시·DXF 생성기·CAD 호출 필요","용역 과업지시서(SW개발)","원문직접","PDF p.7, p.9-p.11","SFR-002; SFR-003; DAR-002; TER-002; COR-001","RFP/계약요구 직접명시","통합 GIS의 3D 산출·CAD 상호운용 조건","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-COM-026","공통","3D처리성능","정량 변환성능·최대용량","일반 사무용 PC에서 정점 10만 개를 10초 이내에 DXF로 변환하고 최소 50만 정점을 메모리 부족이나 비정상 종료 없이 처리해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","10만 정점 10초 이내; 50만 정점 이상 무중단","표준 PC·데이터로 시간·메모리·완료여부 측정","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","벤치마크·메모리보호·성능결과서 필요","용역 과업지시서(SW개발)","원문직접","PDF p.8-p.9","PER-001; PER-002","RFP/계약요구 직접명시","통합시스템 3D 처리모듈의 공식 검수기준","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
