"UIUX_ID","분야","사용자역할","화면·영역","세부기능","사용자목적","표시데이터","핵심컴포넌트","주요인터랙션","기본상태","로딩·빈상태","오류·장애상태","알림·피드백","UI유지원칙","UX유지원칙","반응형·접근성","갱신정책","완료기준","관련개발범위ID","우선순위"
"UX-COM-013","공통","관리자","사용자·권한","역할 및 기관 접근관리","사용자가 허용된 사건·기능·명령만 사용하도록 설정","사용자; 기관; 역할; scope; 활성상태; 최근접속","사용자 표; 역할 편집; 권한 매트릭스; 세션 종료","사용자 검색; 역할 변경; 비활성화; 세션 회수","최소권한 역할 템플릿 제공","사용자 없음; 검색결과 없음 구분","자기 관리자 권한 제거 방지; 저장 충돌 표시","권한 변경 영향과 적용시점을 확인","위험 권한을 별도 그룹화; 비밀키·토큰 값은 화면에 노출 금지","권한 변경은 재인증·확인·감사기록; 미리보기 제공","폼 오류 요약; 키보드 표 조작","관리 이벤트 즉시","권한별 API·화면·버튼 노출이 일치하고 우회접근이 차단","SCOPE-007","P0"
"UX-COM-014","공통","관리자; 감사자","감사로그","사용자·데이터·명령 이력조회","사고와 오조작의 원인을 재구성","사용자; origin; 요청ID; 행위; 대상; 전후값; 결과; 시각","필터 가능한 로그표; 상세 비교; 내보내기","사용자·기간·사건·행위 필터; 전후값 비교; CSV 내보내기","최근 실패·고위험 명령 필터 제공","결과 없음과 수집중단 구분","로그 저장 실패를 관리자에게 별도 경보","민감정보 마스킹; 무결성 상태 표시","읽기전용; 고정 열; 시간대·단위 명확화","한 행에서 누가·언제·어디서·무엇을·결과를 파악","표 접근성; UTC/로컬시각 병기 옵션","준실시간 1~5초","경보·명령·권한·데이터 변경이 누락 없이 검색·내보내기 가능","SCOPE-007; SCOPE-011","P0"
"UX-COM-015","공통","운영자","데이터 품질","적재·검증·결함관리","공식 데이터셋의 누락·형식·중복 문제를 해결","작업ID; 파일; 레코드수; 오류행; 품질지표; 수정상태","업로드; 검증 요약; 오류표; 재검증; 결과 내보내기","파일 선택; 검증; 오류 다운로드; 재업로드; 승인","검증 전/진행/실패/통과 상태를 분리","진행률·예상 잔여; 빈 파일 안내","부분 성공을 전체 성공으로 표시하지 않음; 오류행 샘플과 전체파일 제공","통과 기준과 현재 결과를 함께 표시","대용량 표는 가상스크롤; 오류색만 의존 금지","오류를 발견→원인확인→수정→재검증 흐름으로 단순화","파일 입력 레이블; 오류 요약; 키보드","작업 기반; 실시간 진행상태","수량·스키마·필수값·중복·참조무결성 결과가 재현 가능","SCOPE-010; SCOPE-017","P1"
"UX-COM-016","공통","운영자; 관리자","운영 진단","서비스·DB·연계 상태","사용자 화면과 분리해 장애 위치와 영향을 파악","API; DB; Storage; 연계; 큐; 처리지연; 버전","구성요소 상태표; 장애 타임라인; 진단 상세","구성요소 선택; 로그 연결; 재시도; 점검모드","일반 사용자 화면에는 서버 정상 문구를 표시하지 않음","측정중 상태 표시","알 수 없음·저하·중단을 구분; 마지막 정상시각 표시","장애의 사용자 영향과 임시대응을 우선 표시","운영자 전용; 기술정보 밀도 허용; 비밀값 마스킹","원인보다 영향과 복구순서를 먼저 안내","표·아이콘 대체텍스트; 모바일은 읽기전용","5~30초","프론트·API·DB·연계 장애를 분리 식별하고 증적 조회 가능","SCOPE-011","P1"
"UX-WF-001","산불","산불 지휘관","산불 지도","화선·확산예측 표시","현재 화선과 시간대별 예상 확산을 자원·대피정보와 비교","관측화선; 예측화선; 예측시각; 신뢰도; 풍향; 자원","선/면 레이어; 시간 슬라이더; 관측/예측 범례","시간 이동; 예측 켜기; 특정시각 고정","관측은 실선, 예측은 점선/투명면으로 명확히 구분","예측 없음은 분석 대기/미제공 사유 표시","오래된 예측은 경고하고 최신처럼 표현하지 않음","예측시각·모델버전·신뢰도를 항상 표시","불길 이미지 남용 금지; 레이어의 시각적 의미를 고정","예측과 사실을 혼동하지 않게 관측/예측 표기를 반복 제공","선패턴·텍스트 병행; 시간 슬라이더 키보드","관측·예측별 정책; 기준시각 표시","사용자가 관측과 예측을 오인하지 않고 특정시각 결과를 재현","SCOPE-012","P0"
"UX-WF-002","산불","산불 지휘관; 현장 지휘자","산불 지도/경보","대원 화선접근·고립 위험","위험 대원을 조기에 식별하고 안전경로를 전달","대원위치; 화선; 위험구역; 통신커버리지; 안전경로","위험 링; 대원 경보배지; 안전경로; 대상 목록","위험대원 선택; 경보 발령; 안전경로 확인·전달","치명 위험대원을 최상단·지도에 강하게 표시","안전경로 미산출 시 산출 불가와 원인 표시","위치가 오래되면 위험판정 신뢰도 저하를 명시","경보 대상·거리·예상시간·근거를 표시","지도 전체를 붉게 만들지 않고 위험 대상·구역만 강조","권고는 자동 실행하지 않고 지휘관 확인 후 전달","경보 live region; 경로 선패턴; 모션 최소화","위치 1초; 위험판정 결과 즉시 반영","위험 대상과 경보 수신자가 일치하고 경보 근거·시각 추적 가능","SCOPE-012","P0"
"UX-WF-003","산불","산불 지휘관","통신음영/VR","음영 분석·가상검증","통신단절 예상지역과 대응 후보를 시나리오로 비교","음영폴리곤; 커버리지; 대원밀집; 대피로; 후보지; VR 검증결과","음영 레이어; 시나리오 선택; 전후 비교; 검증 리포트","시나리오 실행; 기준/대안 비교; VR에서 보기; 결과 승인","실제 관측 음영과 AI 예측 음영을 구분","VR 미연결 시 지도 기반 결과는 유지","검증 실패·버전 불일치·좌표오류를 명확히 표시","개선 면적·영향자원·검증결론을 요약","전후 비교 색상과 경계선을 고정; 3D 효과보다 정보 정확성 우선","한 화면에서 기준안과 대안을 비교하고 선택 근거를 남김","대체 표 제공; 모션감소 시 VR 자동회전 금지","시나리오 작업 기반","SFR-001 검증결과·입력버전·승인자가 재현 가능","SCOPE-013","P1"
"UX-WF-004","산불","산불 운영자; 평가자","성과지표","RFP KPI 대시보드","공식 성능 달성과 실패 원인을 입증","망 구축시간; 위치주기; 공유시도/성공; 가용/장애시간","KPI 카드; 기준선; 시험실행 목록; 원시로그 링크","시험 선택; 산식 보기; 증적 다운로드","목표와 측정값·합격여부를 함께 표시","시험 없음은 미측정으로 표시하고 0으로 표현 금지","불완전 로그는 계산불가로 처리","10분/5초/98%/98% 기준 초과·미달과 원인을 표시","합격 색상만이 아니라 값·기준·판정을 텍스트로 제공","KPI 값에서 원시 이벤트까지 드릴다운 가능","표 대체; CSV 다운로드","시험 종료 후 계산; 실시간 잠정값 구분","동일 원시로그로 KPI를 재계산하면 화면값과 일치","SCOPE-014","P0"
"UX-LS-001","산사태","산사태 지휘관","산사태 지도","위험지도·통신음영·긴급망 통합","사면 위험과 구조 가능 통신범위를 함께 판단","위험등급; DEM; Viewshed; 음영; 중계기; 도로·통제","위험면; 음영면; 중계기 커버리지; 범례","레이어 조합; 사면 선택; 분석시각 변경","고·중·저 위험과 관측·예측을 구분","분석 미완료 사면을 별도 패턴으로 표시","DEM/분석 버전 불일치 시 결과 숨김 대신 경고","위험등급 근거·분석시각·통신 가능 여부 표시","위험도 색은 일관 유지; 지형을 가리지 않는 투명도","사면을 선택하면 관련 위험·통신·자원 정보를 한 상세에서 제공","패턴·레이블 병행; 3D 키보드 대체 목록","분석 결과별 기준시각","사면별 위험과 통신 가능성을 같은 좌표·시각 기준으로 비교","SCOPE-015","P0"
"UX-LS-002","산사태","구조 지휘관","조난자 탐색","신호·추정위치·신뢰도 표시","복수 신호에서 구조 우선 후보를 판단","RSSI; 탐지기 위치·경로; 추정좌표; 깊이; 오차반경; 신뢰도","신호 히트맵; 후보 마커; 오차원; 신뢰도 카드; 관측 목록","후보 선택; 탐지기별 관측 비교; 구조후보 확정/보류","후보는 확정자가 아닌 추정 후보로 표시","관측 부족 시 위치 미산출·추가 탐색 필요","신뢰도 낮음·센서 불일치·오래된 관측을 경고","후보 생성·변경 시 근거 관측 수와 변화량 표시","사람 아이콘으로 확정 위치처럼 표현 금지; 오차범위 필수","AI 결과는 운영자가 확정/보류하고 이유를 기록","색상+수치+텍스트; 표 형태 관측 대체","신호 1초; 추정결과 이벤트 기반","추정값·오차·신뢰도·입력관측·확정자가 연결돼 추적 가능","SCOPE-015","P0"
"UX-LS-003","산사태","산사태 운영자","장비 연계 관제","CUSTOM GCS·DMS·KT 통합","드론·통신단말·EOIR·5G 품질·DMS·알림을 한 사건에서 운영","드론임무·영상; 단말; 5G 품질; Supervisor; DMS; 경보","연계상태 바; 드론 카드; 영상; 통신품질; DMS; 통합알림","드론/단말 선택; 명령; 영상열기; 장애 상세","장비와 연계시스템 상태를 별도 표시","미연결 장비는 등록됨/미연결 구분","명령 타임아웃·부분 성공·권한거부를 구분","명령 요청·수락·완료·실패와 대상장비를 표시","하나의 화면에 모든 원시값을 노출하지 않고 임무 영향 중심 요약","장비별 다른 상태코드를 공통 한국어 상태로 정규화","명령버튼 키보드; 영상 자막; 고위험 명령 확인","상태 1초; 품질 추세 집계","1·2년차 계약 명세 장비의 상태·명령·영상·경보가 종단 연계","SCOPE-016","P0"
"UX-LS-004","산사태","데이터 관리자; 분석담당자","실증데이터 관리","멀티모달 데이터 적재·검색·내보내기","공식 수량·품질을 충족한 데이터셋을 LLM·AI에 제공","주민/요원 전사; 현장지점; 이미지; GPS; 토양; 함수율; 라벨; 메타데이터","데이터셋 요약; 지점 지도; 파일·레코드 검증; 검색; 내보내기","업로드; 매핑; 검증; 오류수정; 승인; JSON/CSV 내보내기","100/10/300 목표 대비 수량·승인상태 표시","데이터 없음과 검증 전을 구분","비식별 실패·필수메타데이터 누락 시 승인·내보내기 차단","검증 결과·비식별 상태·내보내기 범위를 확인","개인정보 원문은 기본 화면에 표시 금지; 썸네일·지점 중심 탐색","업로드→매핑→검증→승인→내보내기의 단계형 흐름","파일업로드 접근성; 대용량 표 가상화; 이미지 대체설명","작업 기반","최소 수량·스키마·품질·비식별을 통과한 데이터만 LLM용 내보내기 가능","SCOPE-017","P0"
"UX-LS-005","산사태","GIS 담당자","3D 지형 작업","XYZ→DXF 변환·CAD 확인","지형데이터를 검증·변환하고 CAD 결과를 확인","XYZ CSV; 좌표계; 면적·간격; 정점수; 변환설정","파일입력; 파라미터; 검증결과; 진행률·로그; 변환/CAD 버튼","파일 선택; 설정 Save/Load; 변환; 취소; CAD에서 보기","입력→검증→변환→완료 순서와 실행가능 버튼 상태 명확화","대용량 업로드·변환 진행률; 예상 잔여시간","오류행·좌표계·메모리·CAD 미설치 오류를 구분","완료 후 처리시간·정점수·파일크기·호환성 안내","데이터 입력/상태로그/실행 3영역 유지; 비전문가 용어 사용","실행 전 입력·예상결과를 확인하고 실패 후 설정을 잃지 않음","폼 레이블; 오류요약; 진행상태 aria-live","작업 기반","10만 정점 10초 이내·50만 정점 무중단·DXF R2018 CAD 일치","SCOPE-018","P1"
