"요구사항ID","재난분야","요구사항영역","세부기능","요구사항설명","주요입력데이터","처리·판단규칙","출력·사용자기능","연계대상","성능·품질기준","검증방법","개발단계·우선순위","현재구현상태","현재구현근거","추가개발사항","근거문서","근거구분","근거위치","원문요구번호","근거강도","통합시스템포함사유","개발범위구분","구현산출물","범위제외경계"
"INT-LS-011","산사태","복구의사결정","복구 우선순위와 자원배분","위험도·접근성·인명·시설 피해·통신상태를 종합해 구조·도로통제·응급복구 우선순위와 자원배치를 지원한다.","위험등급; 조난자후보; 도로·시설; 자원가용성; 통신망","인명안전·2차피해·접근가능성을 우선순위 기준으로 점수화한다.","작업 우선순위; 자원추천; 통제구간; 근거","지자체 GIS; 재난대응체계; 자원관리","설명 가능하고 운영자가 승인 가능한 권고","전문가 판단 대비 순위 일치도와 시나리오 대응시간 비교","산사태 고도화/P2","API골격","tasks 및 recommendations 의사결정 API 골격 존재","우선순위 모델·업무흐름·지도기반 작업관리 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","상황판단·복구 우선순위·자원할당 지원","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-015","산사태","현장DB","3D 디지털트윈·현장 중심 DB","산림 지형 면적·경사·고도와 현장 주민·산림·경영·분석 데이터를 3D 디지털트윈 및 현장 중심 DB로 구성한다.","DEM/DSM; DXF/CAD; 현장·주민·산림·경영·분석 데이터","공간 객체와 행정·분석 레코드를 연결하고 CAD 호환 DXF 변환을 지원한다.","3D 지형; 객체조회; 현장 DB 검색; 자동 갱신","지자체 GIS; CAD; 분석플랫폼","확장 가능한 데이터 구조와 현장 직관성","DXF 변환·좌표정합·공간객체-DB 연결·검색 시험","산사태 플랫폼/P1","미구현","2D 지도와 도메인 API 골격 존재","3D 엔진·DXF 변환·현장 DB 스키마·GIS 동기화 필요","산사태 2025 연차보고서","명시","산사태 연차보고서 PDF p.25","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-LS-016","산사태","GCS데이터","드론 획득정보 데이터셋 변환","드론 GCS가 획득한 영상·위치·자세·센서 정보를 표준 데이터셋으로 변환해 분석·재현에 사용한다.","영상; GCS 로그; GNSS; 고도; 자세; 촬영시각; 센서메타데이터","원본을 보존하고 프레임별 공간·시간 메타데이터를 결합해 버전 데이터셋을 생성한다.","분석용 데이터셋; 변환결과; 품질·누락정보","드론 GCS; AI 영상분석; GIS","원본 추적성과 재현 가능한 변환","샘플 비행의 프레임·좌표·시각 매칭 및 누락률 검증","산사태 데이터/P0","미구현","미디어 업로드 API 골격만 존재","GCS 파서·변환 파이프라인·메타데이터·스토리지 필요","산사태 2025 연차보고서","명시","산사태 연차보고서 PDF p.25","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-LS-017","산사태","탐지아키텍처","Ref_AP/Rover_AP 이원화 탐지","기준국 Ref_AP의 삼변측량과 드론 탑재 Rover_AP의 그리드 스캐닝을 결합해 매몰자 탐지범위와 정확도를 확보한다.","Ref_AP 좌표; Rover_AP 경로; RSSI; 주파수; 관측시각","고정 기준국과 이동 관측의 교차점을 계산하고 다중 AP 결과를 융합한다.","후보위치; 관측궤적; 오차범위; 탐지근거","Ref_AP; Rover_AP; 드론; 위치추정AI","이원화로 탐지 신뢰도·공간 커버리지 향상","알려진 표적 위치에서 단독/융합 방식 위치오차 비교","산사태 핵심/P0","데이터모사","2대 탐지기 RSSI 및 융합 위치를 모사","Ref/Rover 역할·경로·실측 융합 알고리즘과 UI 필요","산사태 2025 연차보고서","그림+본문명시","산사태 연차보고서 PDF p.25","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-018","산사태","신호분석","붕괴지반 주파수·감쇠 보정","정상지반과 붕괴지반의 주파수 파장·감쇠 특성을 비교하고 토질·깊이에 따른 RSSI 왜곡을 보정한다.","주파수 스펙트럼; RSSI; 거리; 깊이; 토질; 수분; 기준신호","환경별 감쇠계수를 추정하고 관측 RSSI를 보정한 뒤 위치모델에 전달한다.","보정 RSSI; 감쇠모델; 환경분류; 신뢰도","신호분석장비; 조난자 위치AI","붕괴환경에서도 위치오차 감소와 모델 재현성","토질·깊이·함수비별 반복시험과 보정 전후 오차 비교","산사태 핵심/P0","미구현","선형 RSSI 증가값만 모사","실험데이터·스펙트럼 분석·환경별 감쇠모델 필요","산사태 2025 연차보고서","명시","산사태 연차보고서 PDF p.25","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","분석결과·의사결정","분석 입출력 계약; 결과 저장 API; 지도·경보·승인 UI","AI/전파/측위 모델 자체 연구는 제외하고 모델 입력·결과 수용·표출·승인·이력관리만 포함"
"INT-LS-020","산사태","재난단말활성화","CBS 문자·시스템앱·통신사 펌웨어 연계","재난안전통신망으로 코드가 포함된 재난문자를 발송하고 시스템앱·통신사 펌웨어·CBS 연계로 대상 휴대기기의 Wi-Fi 활성화를 시도한다.","재난문자코드; 대상지역; 단말OS; 제조사정책; 활성화응답","법적·보안 승인 범위에서만 실행하고 일반 앱 제약과 제조사 서명 필요성을 명시적으로 관리한다.","발송상태; 활성화응답; 실패사유; 대상지역","CBS; 통신사; 제조사; 재난안전통신망","오남용 방지·보안·정책 준수와 응답 추적","승인된 시험단말에서 발송-활성화-신호탐지 종단시험","산사태 연구/P1","개념모사","Wi-Fi 활성화 응답 이벤트만 모사","제조사/통신사 협력·시스템앱·권한·감사·표준안 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산사태 연구계획서 PDF p.19; 산사태 연차보고서 PDF p.25","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-021","산사태","모니터링플랫폼","클라우드 부하분산·지역검색·통신상태","클라우드 플랫폼에서 지역별 산사태·통신상태·드론영상·조난자 후보를 통합 조회하고 부하분산과 지역검색을 지원한다.","지역; 사건; 드론영상; 통신상태; 조난자후보; 분석결과","지역·시간·위험도 조건으로 검색하고 서비스 인스턴스 장애·부하를 분산한다.","지역검색; 통합상황; 서비스상태; 분석결과","클라우드; 재난포털; 지자체","부하분산 안정성·확장성·지역별 검색 응답성","동시접속·인스턴스 장애·지역검색 정확성 시험","산사태 플랫폼/P0","부분구현","Vercel 프론트·Hono API·Supabase 기반 단일 서비스와 사건선택 구현","다중 인스턴스·부하분산 관측·지역검색·영상/분석 통합 필요","산사태 연구개발계획서; 산사태 2025 연차보고서","명시","산사태 연구계획서 PDF p.2; 산사태 연차보고서 PDF p.3, p.11","","직접명시","통합 플랫폼의 수집·저장·분석·표출·연계·운영 중 하나에 해당","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-023","산사태","데이터수용","공식 현장실증 데이터 적재","주민 인터뷰 100건 이상, 산림청 현장요원 인터뷰 10건 이상, 현장 300지점 이상의 사진·드론영상·GPS·토양·함수율 데이터를 사건·지점·시각·출처 단위로 통합 수용해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","최소수량 충족; 지점 메타데이터 완전성; 원천추적","원천파일 수량·필드·지점 대사와 표본/전수검사","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","멀티모달 적재·지점모델·원천대사 필요","용역 과업지시서(데이터구축)","원문직접","PDF p.7-p.9","SFR-001; SFR-002; SFR-003","RFP/계약요구 직접명시","공식 납품 데이터의 플랫폼 수용조건","데이터·GIS","DB 스키마; 적재·검증 파이프라인; GIS 레이어·조회 API","현장 데이터 직접 조사·촬영·라벨링 작업은 제외하고 납품 데이터의 적재·검증·검색·활용만 포함"
"INT-LS-024","산사태","멀티모달구조","LLM·AI용 JSON/CSV 통합데이터","전사록은 의미단위·개체·키워드 태깅 JSON으로, 이미지는 객체 라벨과 환경데이터 메타데이터를 포함한 CSV/JSON으로 구축하고 공통 지점ID로 상호 연계해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","LLM 환경 즉시 활용; 필드 의미·자료형·허용범위 명세","스키마·참조무결성·LLM 샘플 로딩 시험","공식계약/P0","스키마부분구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","멀티모달 스키마·라벨·메타데이터·내보내기 필요","용역 과업지시서(데이터구축)","원문직접","PDF p.8-p.9","SFR-004; DAR-001; DAR-002","RFP/계약요구 직접명시","통합 플랫폼의 검색·분석·AI 데이터 계약","업무·화면","웹 관제 화면; 사용자 업무흐름; 화면·API 명세","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-025","산사태","데이터품질","정확성·완전성·일관성 검증","누락·오기·형식오류를 표본과 전수검사하고 인터뷰와 현장정보를 교차검증하며 지명·용어 표기를 통일하고 이중 확인과 수정이력을 관리해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","정확성·완전성·일관성·수정추적성","자동 전수검사+수동 표본검사+원천대사","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","품질규칙·검증작업·결함처리·결과서 필요","용역 과업지시서(데이터구축)","원문직접","PDF p.9, p.11","TER-001; QUR-001; QUR-002","RFP/계약요구 직접명시","통합 데이터 신뢰성과 납품검수 조건","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-026","산사태","데이터보안","동의·비식별·암호화·접근통제","인터뷰 동의를 증빙하고 이름·연락처를 비식별화하며 원시자료와 산출물을 암호화 저장하고 지정인원만 접근시켜 종료 시 반납 또는 안전파기해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","개인정보보호법; 최소권한; 접근감사; 파기증적","권한·암호화·재식별위험·보유/파기 시험","공식계약/P0","부분구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","동의·가명키·암호화·감사·파기 워크플로 필요","용역 과업지시서(데이터구축)","원문직접","PDF p.10-p.12","SER-001; SER-002; COR-001; COR-002","RFP/계약요구 직접명시","통합 데이터플랫폼의 법적·보안 통제","비기능·운영","권한·감사·로그; 시험코드·결과서; 운영·장애대응 문서","논문·특허·사업화·장비 구매·기구 설계는 제외"
"INT-LS-027","산사태","1년차연계","EOIR·KT Supervisor·5G 품질관제","플랫폼은 드론 EOIR 렌즈 2식, KT Supervisor, KT 5G 기지국 망 품질·파라미터 조정/틸팅, 5G 모뎀 2식의 영상·상태·품질·제어결과·장애를 통합 관제해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","명세 수량 연계; 품질관제; 변경·장애 추적","실장비 상태수집·파라미터변경·장애복구 시험","공식계약/P0","미구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","KT/EOIR/모뎀 어댑터·제어권한·영상연계 필요","산사태 실종자 탐색용 관제 플랫폼 구축 1년차 계약서","원문직접","PDF p.8 별첨 명세","1년차 명세 1-4","RFP/계약요구 직접명시","실제 1년차 관제 플랫폼 연동 대상","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-LS-028","산사태","2년차관제","CUSTOM GCS·DMS·통합알림","CUSTOM GCS에서 드론과 통신단말을 일체 관제하고 드론 모니터링·DMS·통합 알림을 포함하며 KT Supervisor 연계 유지보수 상태도 관리해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","드론-통신단말 일체관제; 통합경보; 유지보수 가능","GCS→플랫폼→알림 종단시험 및 장애시험","공식계약/P0","부분구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","GCS·DMS·Supervisor 어댑터와 경보 워크플로 필요","산사태 실종자 탐색용 관제 플랫폼 구축 2년차 계약서","원문직접","PDF p.8 별첨 명세","2년차 명세 1-3","RFP/계약요구 직접명시","실제 2년차 통합관제 핵심 범위","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
"INT-LS-029","산사태","기관연계","재난안전통신망·지자체 정보공유","드론 등으로 복구한 긴급통신망을 재난안전통신망과 연계하고 지자체에 재해·현장·조난자 정보를 공유하며 전송·수신·오류·재처리를 추적해야 한다.","원천데이터; 메타데이터; 상태·처리시각; 외부식별자","공식 문서의 포맷·임계치·수량·권한을 검증하고 사건·시간·공간 기준으로 정규화하며 오류·변경이력을 보존한다.","처리결과; 진행·오류상태; 조회·내보내기; 검수증적","통합 관제 API; GIS; 외부 장비·기관 시스템","현장적용 가능; 기관별 권한; 장애 후 재전송·대사","기관 계약시험·망단절 후 재전송·송수신 대사","공식계약/P0","골격구현","현재 Hono API·Supabase·React 지도·모사기 기준 정적 코드검토","공식 규격·인증·전송큐·연계관제 필요","산사태 품목지정 과제 제안요구서(RFP)","원문직접","PDF p.1 품목1","품목1 긴급통신망 복구","RFP/계약요구 직접명시","통합시스템의 공식 외부기관 공유 의무","연계·관제","연계 어댑터; 상태·명령 API; 연계 모니터링 화면","드론·기지국·단말·센서 하드웨어 제작은 제외하고 통신 프로토콜·상태수집·명령·장애관제만 포함"
