domain,capability,field_or_data,evidence_level,source,source_location,basis_or_note
산사태,rover-ap,rtt,CONFIRMED,LS-REPORT,p21-24,LTE 전송과 RTT 측정
산사태,ir-uwb-gpr,rawSignal,CONFIRMED,LS-REPORT,p21-24,IR-UWB/GPR 탐지 구성
산사태,risk-analysis,terrainWeatherForestHistoryInfra,CONFIRMED,LS-PLAN,p12,환경 위험도 분석용 데이터 항목 표
산사태,risk-analysis,riskScore,INFERRED,-,-,위험도 분석 결과 표현은 필요하나 점수 범위·필드 미확정
산사태,debris-flow,simulationResult,CONFIRMED,LS-PLAN,p12,산사태·토석류 관련 분석 데이터 범주
산사태,change-detection,droneImages,CONFIRMED,LS-PLAN; LS-REPORT,p12; p25,드론 영상 기반 현장 분석 맥락
산사태,change-detection,changeGeometry,INFERRED,-,-,변화 결과 교환 형상은 통합 구현을 위한 추정
산사태,rssi-localization,refAndRoverRssi,CONFIRMED,LS-REPORT,p21-24,Ref_AP와 Rover_AP RSSI 기반 구조
산사태,rssi-localization,victimPosition,CONFIRMED,LS-REPORT,p21-24,조난자 위치 추정 목적
산사태,vital-signal-analysis,irUwbGprSignal,CONFIRMED,LS-REPORT,p21-24,IR-UWB/GPR 신호 기반 탐지
산사태,vital-signal-analysis,confidence,INFERRED,-,-,모델 결과 품질 전달에 필요하나 필드 직접 명시 없음
산사태,attenuation-correction,collapsedGroundSignal,CONFIRMED,LS-REPORT,p21-25,붕괴 지반 환경 신호 분석·보정 연구 맥락
산사태,attenuation-correction,correctedSignal,INFERRED,-,-,보정 모델의 통합 출력 형태는 추정
공통,adapter,timeoutSeconds5,DESIGNED,-,-,현재 모사·통합 테스트 운영 규칙
공통,adapter,httpJson,DESIGNED,-,-,중간 어댑터 인력을 고려해 선택한 통합 교환 방식
